"gene_id","logP"
"isogroup108341_c0_g1",1.37603080327749
"isogroup108376_c0_g1",0.424441899639474
"isogroup108384_c0_g1",-0.768702405462091
"isogroup108402_c0_g1",0.12174248573146
"isogroup10840_c0_g1",-2.53889133716136
"isogroup108435_c0_g1",0
"isogroup108459_c0_g1",0
"isogroup10846_c0_g1",NA
"isogroup108471_c0_g1",-0.0110330095830885
"isogroup108496_c0_g1",0
"isogroup108534_c0_g1",0.0596808378102798
"isogroup108543_c0_g1",0.454811516124944
"isogroup108564_c0_g1",-0.348058562334768
"isogroup108578_c0_g1",NA
"isogroup108624_c0_g1",0.0596808378102798
"isogroup108630_c0_g1",NA
"isogroup108659_c0_g1",0
"isogroup108682_c0_g1",0.337475963348631
"isogroup108692_c0_g1",0.853612336673052
"isogroup10872_c0_g1",0
"isogroup108744_c0_g1",0
"isogroup108749_c0_g1",1.552417256919
"isogroup108759_c0_g1",-0.960445469073041
"isogroup10875_c0_g1",0.903280803167121
"isogroup108769_c0_g1",NA
"isogroup108775_c0_g1",1.12667279660385
"isogroup108807_c0_g1",NA
"isogroup10882_c0_g1",1.78991359879954
"isogroup108838_c0_g1",0
"isogroup108848_c0_g1",-0.656219554560748
"isogroup108856_c0_g1",-0.750091914800086
"isogroup108860_c0_g1",0.624988851870096
"isogroup108910_c0_g1",0
"isogroup108923_c0_g1",0.0596819141227464
"isogroup108928_c0_g1",1.28373610698054
"isogroup108940_c0_g1",0
"isogroup108947_c0_g1",-1.96778849022365
"isogroup10895_c0_g1",-0.857155381824424
"isogroup109018_c0_g1",-0.749329178523702
"isogroup109029_c0_g1",-0.0110330095830885
"isogroup109074_c0_g1",0.211668247579666
"isogroup109081_c0_g1",2.50525002336993
"isogroup109083_c0_g1",0
"isogroup109106_c0_g1",0
"isogroup109118_c0_g1",NA
"isogroup109127_c0_g1",0
"isogroup10917_c0_g1",0.159206431118657
"isogroup109192_c0_g1",0.0596819141227464
"isogroup10926_c0_g1",0
"isogroup109273_c0_g1",0.151442458505634
"isogroup109290_c0_g1",0
"isogroup109296_c0_g1",17.2547726007786
"isogroup109312_c0_g1",-1.5077572108387
"isogroup109316_c0_g1",0.0596819141227464
"isogroup109322_c0_g1",-0.986878625709279
"isogroup109381_c0_g1",-0.386194550300728
"isogroup109406_c0_g1",0
"isogroup109450_c0_g1",0
"isogroup109460_c0_g1",0.901158681527127
"isogroup109493_c0_g1",0.230897988228255
"isogroup109551_c0_g1",0.0596819141227465
"isogroup109580_c0_g1",-0.348454212832799
"isogroup109643_c0_g1",1.57885252905423
"isogroup109648_c0_g1",-0.663483898243377
"isogroup109652_c0_g1",0
"isogroup109681_c0_g1",-0.352826979602373
"isogroup109689_c0_g1",0.197081121030729
"isogroup109691_c0_g1",0.480074469430052
"isogroup109766_c0_g1",-0.0110394785936828
"isogroup109785_c0_g1",-0.348058562334768
"isogroup109861_c0_g1",-1.73140275170428
"isogroup109934_c0_g1",-0.279004773969379
"isogroup109961_c0_g1",0
"isogroup110037_c0_g1",0
"isogroup110051_c0_g1",0
"isogroup110057_c0_g1",-0.0110340374022401
"isogroup11006_c0_g1",NA
"isogroup110106_c0_g1",-0.756455016590809
"isogroup11011_c0_g1",NA
"isogroup110395_c0_g1",0.28611803852748
"isogroup110409_c0_g1",0
"isogroup110426_c0_g1",0
"isogroup110445_c0_g1",0.0596796470474918
"isogroup110526_c0_g1",0.411884320063803
"isogroup1105_c0_g1",0
"isogroup110607_c0_g1",-0.0207172807747532
"isogroup1106_c0_g1",-0.0127367014745626
"isogroup11072_c0_g1",-0.0110330095830885
"isogroup110746_c0_g1",-0.0124888677596131
"isogroup110761_c0_g1",-0.0110351745166339
"isogroup11076_c0_g1",0.192977533167947
"isogroup110777_c0_g1",NA
"isogroup110832_c0_g1",-0.615846194369674
"isogroup11083_c0_g1",0.119942690181098
"isogroup110867_c0_g1",0
"isogroup110954_c0_g1",0.581215680716423
"isogroup111014_c0_g1",0
"isogroup11120_c0_g1",0
"isogroup111280_c0_g1",0.0194854922378137
"isogroup111301_c0_g1",0.650725997248598
"isogroup111308_c0_g1",-0.800171064576142
"isogroup111311_c0_g1",1.37139162907405
"isogroup111351_c0_g1",-2.0870492099512
"isogroup111356_c0_g1",0
"isogroup111379_c0_g1",1.8063572928132
"isogroup11145_c0_g1",0.707055980949695
"isogroup11150_c0_g1",0
"isogroup111555_c0_g1",0
"isogroup1115_c0_g1",0
"isogroup111933_c0_g1",0.109084239184711
"isogroup111982_c0_g1",NA
"isogroup111996_c0_g1",0
"isogroup111997_c0_g1",-0.290658384297763
"isogroup112003_c0_g1",1.90097038773875
"isogroup112005_c0_g1",0.295811752497789
"isogroup112017_c0_g1",0
"isogroup112018_c0_g1",NA
"isogroup112027_c0_g1",0.212372013553076
"isogroup112032_c0_g1",-0.0110330095830885
"isogroup112042_c0_g1",0
"isogroup112095_c0_g1",-0.962467103540206
"isogroup112105_c0_g1",0.47765851774615
"isogroup112116_c0_g1",-0.508354541435744
"isogroup112132_c0_g1",-2.31280390869675
"isogroup11213_c0_g1",0
"isogroup112171_c0_g1",0.0328472156582185
"isogroup112198_c0_g1",0
"isogroup112200_c0_g1",0
"isogroup112202_c0_g1",-0.478230822687505
"isogroup112209_c0_g1",-0.0110330095830886
"isogroup112220_c0_g1",2.93417859105258
"isogroup112231_c0_g1",1.30430509747694
"isogroup112233_c0_g1",2.9823388440171
"isogroup112236_c0_g1",1.41436442136979
"isogroup112237_c0_g1",0
"isogroup112252_c0_g1",0
"isogroup112273_c0_g1",0
